Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0056965295,0.024891358,0.007956835
5.15,0.0043497956,0.019194828,0.006346531
5.25,0.0052321386,0.014845032,0.005067421
5.35,0.004210478,0.009612894,0.004051388
5.45,0.001393173,0.005402415,0.0032443241
5.55,0.0013312541,0.004009242,0.0026032506
5.65,7.585053E-4,0.002677988,0.0020940276
5.75,4.179519E-4,0.0019194828,0.0016895375
5.85,1.702767E-4,0.0015015309,0.0013682396
5.95,2.476752E-4,0.0013312541,0.0011130237
6.05,7.73985E-5,0.001083579,9.3979295E-4
6.15,7.73985E-5,0.0010061805,8.5471774E-4
6.25,1.857564E-4,9.28782E-4,7.871454E-4
6.35,1.857564E-4,7.430256E-4,4.609293E-4
6.45,9.28782E-5,5.572692E-4,4.3381372E-4
6.55,6.19188E-5,4.64391E-4,3.213948E-4
6.65,3.09594E-5,4.024722E-4,2.5829338E-4
6.75,7.73985E-5,3.715128E-4,2.131384E-4
6.85,3.09594E-5,2.941143E-4,1.8511324E-4
6.95,0.0,2.6315489E-4,1.5126169E-4
7.05,3.09594E-5,2.6315489E-4,1.3855423E-4
7.15,7.73985E-5,2.321955E-4,1.1938751E-4
7.25,1.54797E-5,1.54797E-4,1.0378546E-4
7.35,1.54797E-5,1.393173E-4,9.098468E-5
7.45,4.64391E-5,1.238376E-4,6.803962E-5
7.55,4.64391E-5,7.73985E-5,4.725514E-5
7.65,3.09594E-5,3.09594E-5,2.4779858E-5
7.75,0.0,0.0,1.4468195E-5
7.85,0.0,0.0,9.039069E-6
7.95,0.0,0.0,2.561932E-6
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
