Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0064705145,0.020789238,0.031251006
5.15,0.006099002,0.014318722,0.024538154
5.25,0.001702767,0.008219721,0.019205946
5.35,0.0027399068,0.0065169535,0.014970423
5.45,0.0012848151,0.0037770467,0.011606026
5.55,7.275459E-4,0.0024922318,0.008933593
5.65,4.334316E-4,0.0017646858,0.006810802
5.75,2.476752E-4,0.0013312541,0.00512461
5.85,2.012361E-4,0.001083579,0.0037852197
5.95,1.083579E-4,8.823429E-4,0.0027213043
6.05,1.702767E-4,7.73985E-4,0.0018960169
6.15,3.09594E-5,6.037083E-4,0.0013377487
6.25,6.19188E-5,5.727489E-4,8.952217E-4
6.35,1.393173E-4,5.108301E-4,6.0504186E-4
6.45,4.64391E-5,3.715128E-4,5.082283E-4
6.55,1.54797E-5,3.250737E-4,4.3743566E-4
6.65,3.09594E-5,3.09594E-4,2.4913216E-4
6.75,3.09594E-5,2.786346E-4,2.4913216E-4
6.85,1.54797E-5,2.476752E-4,1.8770967E-4
6.95,3.09594E-5,2.321955E-4,1.5497048E-4
7.05,3.09594E-5,2.012361E-4,1.3532475E-4
7.15,0.0,1.702767E-4,1.16266405E-4
7.25,6.19188E-5,1.702767E-4,1.00141435E-4
7.35,1.54797E-5,1.083579E-4,7.817219E-5
7.45,3.09594E-5,9.28782E-5,6.563083E-5
7.55,3.09594E-5,6.19188E-5,4.9494305E-5
7.65,3.09594E-5,3.09594E-5,3.0338862E-5
7.75,0.0,0.0,1.0887747E-5
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
