Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.058559705,0.13810988,0.032028887
5.15,0.029101836,0.07955018,0.025473477
5.25,0.01962826,0.050448343,0.02026633
5.35,0.01185745,0.030820083,0.016130146
5.45,0.00671819,0.018962633,0.012844658
5.55,0.0042878767,0.0122444425,0.010234903
5.65,0.0023838738,0.007956565,0.008161901
5.75,0.0015170106,0.005572692,0.0065152557
5.85,9.752211E-4,0.004055681,0.0052072797
5.95,4.489113E-4,0.0030804602,0.004168317
6.05,5.572692E-4,0.002631549,0.0033440953
6.15,2.6315489E-4,0.0020742798,0.0027353985
6.25,6.19188E-5,0.0018111249,0.0023120986
6.35,1.238376E-4,0.0017492061,0.002128166
6.45,1.857564E-4,0.0016253685,0.0017056961
6.55,2.012361E-4,0.0014396121,0.0016867145
6.65,1.393173E-4,0.001238376,0.0013583394
6.75,6.19188E-5,0.0010990587,0.0013352835
6.85,7.73985E-5,0.0010371399,0.0010902552
6.95,1.238376E-4,9.597414E-4,0.0010053724
7.05,6.19188E-5,8.359038E-4,9.3889935E-4
7.15,9.28782E-5,7.73985E-4,8.901711E-4
7.25,3.09594E-4,6.811068E-4,8.237651E-4
7.35,2.167158E-4,3.715128E-4,6.279549E-4
7.45,3.09594E-5,1.54797E-4,4.2298858E-4
7.55,1.54797E-5,1.238376E-4,2.988441E-4
7.65,1.54797E-5,1.083579E-4,1.3943305E-4
7.75,1.54797E-5,9.28782E-5,1.2313492E-4
7.85,6.19188E-5,7.73985E-5,0.0
7.95,1.54797E-5,1.54797E-5,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
