Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.013204184,0.03656305,0.02607848
5.15,0.008188761,0.023358867,0.020497508
5.25,0.0056036515,0.015170106,0.016064387
5.35,0.00309594,0.009566454,0.012543032
5.45,0.0020742798,0.0064705145,0.009745921
5.55,0.0013312541,0.0043962346,0.007524097
5.65,8.668632E-4,0.0030649805,0.005759239
5.75,4.334316E-4,0.0021981173,0.004357363
5.85,3.250737E-4,0.0017646858,0.003243813
5.95,1.54797E-4,0.0014396121,0.0023592887
6.05,2.786346E-4,0.0012848151,0.0016671116
6.15,6.19188E-5,0.0010061805,0.0012801468
6.25,6.19188E-5,9.442617E-4,0.0010541759
6.35,1.083579E-4,8.823429E-4,5.5362325E-4
6.45,0.0,7.73985E-4,4.9970037E-4
6.55,6.19188E-5,7.73985E-4,3.8710906E-4
6.65,6.19188E-5,7.120662E-4,3.336842E-4
6.75,1.54797E-5,6.501474E-4,2.8865147E-4
6.85,4.64391E-5,6.346677E-4,2.5693898E-4
6.95,1.54797E-4,5.882286E-4,2.295991E-4
7.05,1.083579E-4,4.334316E-4,1.9567927E-4
7.15,1.54797E-4,3.250737E-4,1.6796862E-4
7.25,1.238376E-4,1.702767E-4,1.3984006E-4
7.35,4.64391E-5,4.64391E-5,1.11703535E-4
7.45,0.0,0.0,8.1063496E-5
7.55,0.0,0.0,5.5554137E-5
7.65,0.0,0.0,3.0578114E-5
7.75,0.0,0.0,1.6096494E-5
7.85,0.0,0.0,7.1562104E-6
7.95,0.0,0.0,3.1598856E-6
8.05,0.0,0.0,3.7322187E-7
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
