Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0012160367,0.004124852,0.0083140815
5.15,4.974696E-4,0.0029088152,0.006603005
5.25,4.491045E-4,0.0024113457,0.0052438485
5.35,2.970999E-4,0.0019622413,0.0041642324
5.45,3.661929E-4,0.0016651413,0.0033066627
5.55,2.694627E-4,0.0012989484,0.002625471
5.65,1.727325E-4,0.0010294857,0.0020843812
5.75,1.5200459E-4,8.567532E-4,0.0016545783
5.85,1.243674E-4,7.047486E-4,0.0013131736
5.95,1.105488E-4,5.803812E-4,0.0010419863
6.05,6.9092996E-5,4.698324E-4,8.377045E-4
6.15,4.1455798E-5,4.007394E-4,6.884257E-4
6.25,2.0727899E-5,3.592836E-4,5.78562E-4
6.35,4.1455798E-5,3.385557E-4,5.148656E-4
6.45,4.1455798E-5,2.970999E-4,4.6817455E-4
6.55,3.4546498E-5,2.556441E-4,4.380254E-4
6.65,3.4546498E-5,2.210976E-4,4.1721002E-4
6.75,3.4546498E-5,1.865511E-4,4.007434E-4
6.85,3.4546498E-5,1.5200459E-4,3.5792E-4
6.95,5.52744E-5,1.174581E-4,3.3569944E-4
7.05,6.9093E-6,6.21837E-5,3.2213383E-4
7.15,0.0,5.52744E-5,2.8640262E-4
7.25,2.0727899E-5,5.52744E-5,2.3313642E-4
7.35,0.0,3.4546498E-5,1.825992E-4
7.45,6.9093E-6,3.4546498E-5,1.1172374E-4
7.55,6.9093E-6,2.76372E-5,6.5116736E-5
7.65,1.38186E-5,2.0727899E-5,2.4408366E-5
7.75,0.0,6.9093E-6,1.1664582E-5
7.85,0.0,6.9093E-6,7.130707E-6
7.95,0.0,6.9093E-6,3.449852E-7
8.05,6.9093E-6,6.9093E-6,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
