Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0017342343,0.005637989,0.01910272
5.15,8.498439E-4,0.0039037545,0.014989469
5.25,6.978393E-4,0.0030539106,0.011722197
5.35,6.287463E-4,0.0023560713,0.00912691
5.45,3.247371E-4,0.001727325,0.007065401
5.55,2.970999E-4,0.0014025879,0.005427886
5.65,2.210976E-4,0.0011054879,0.004127161
5.75,1.450953E-4,8.843904E-4,0.003093959
5.85,1.3818599E-4,7.392951E-4,0.0022732574
5.95,8.98209E-5,6.011091E-4,0.0015887392
6.05,3.4546498E-5,5.112882E-4,0.0012001325
6.15,6.9093E-6,4.767417E-4,9.464234E-4
6.25,3.4546498E-5,4.698324E-4,6.9725915E-4
6.35,2.76372E-5,4.3528588E-4,5.2370114E-4
6.45,2.76372E-5,4.0764868E-4,3.9172743E-4
6.55,2.0727899E-5,3.800115E-4,3.0343083E-4
6.65,1.38186E-5,3.592836E-4,2.3395881E-4
6.75,4.83651E-5,3.45465E-4,1.8054806E-4
6.85,3.4546498E-5,2.970999E-4,1.6325497E-4
6.95,0.0,2.625534E-4,1.4844134E-4
7.05,2.0727899E-5,2.625534E-4,1.4414193E-4
7.15,3.4546498E-5,2.418255E-4,1.389639E-4
7.25,2.0727899E-5,2.07279E-4,1.3032656E-4
7.35,6.21837E-5,1.865511E-4,1.1068497E-4
7.45,4.1455798E-5,1.243674E-4,7.551302E-5
7.55,2.0727899E-5,8.2911596E-5,3.6947346E-5
7.65,2.0727899E-5,6.21837E-5,1.8271354E-5
7.75,2.76372E-5,4.1455798E-5,6.0543184E-6
7.85,6.9093E-6,1.38186E-5,1.5924852E-6
7.95,0.0,6.9093E-6,6.7235293E-9
8.05,6.9093E-6,6.9093E-6,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
