Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.027816841,0.06703403,0.06608066
5.15,0.010232673,0.039217185,0.05475751
5.25,0.0072685834,0.028984513,0.04576321
5.35,0.00552744,0.02171593,0.038618788
5.45,0.003364829,0.01618849,0.03294377
5.55,0.001982969,0.012823661,0.028435942
5.65,0.0013749506,0.010840692,0.024855247
5.75,7.047486E-4,0.009465741,0.022011
5.85,4.0764868E-4,0.008760992,0.019751735
5.95,3.523743E-4,0.008353343,0.017957136
6.05,2.7637198E-4,0.008000969,0.017257566
6.15,1.036395E-4,0.007724597,0.016719298
6.25,9.67302E-5,0.0076209577,0.014643836
6.35,4.83651E-5,0.0075242277,0.014576884
6.45,2.76372E-5,0.0074758623,0.012429872
6.55,6.9092996E-5,0.0074482253,0.011619709
6.65,4.1455798E-5,0.0073791323,0.010007024
6.75,8.2911596E-5,0.0073376764,0.0088270055
6.85,3.523743E-4,0.007254765,0.0072582103
6.95,0.0013196763,0.0069023906,0.0056516584
7.05,0.0016720506,0.0055827145,0.0037566992
7.15,6.149277E-4,0.0039106635,0.003717063
7.25,0.0019276947,0.0032957362,0.0034973372
7.35,0.0012713112,0.0013680414,0.0033774113
7.45,8.98209E-5,9.67302E-5,0.0023168845
7.55,6.9093E-6,6.9093E-6,0.0015892384
7.65,0.0,0.0,0.0012199652
7.75,0.0,0.0,8.462858E-4
7.85,0.0,0.0,5.8848585E-4
7.95,0.0,0.0,4.8352082E-4
8.05,0.0,0.0,4.2821607E-4
8.15,0.0,0.0,2.877441E-4
8.25,0.0,0.0,1.3400253E-4
8.35,0.0,0.0,1.4197033E-6
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
