Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,1.4042115E-5,3.0792353E-4,0.0048825103
5.15,4.513537E-5,2.938814E-4,0.0038292722
5.25,9.027074E-6,2.4874604E-4,0.0029926554
5.35,7.0210576E-6,2.3971897E-4,0.002328107
5.45,1.5045123E-5,2.326979E-4,0.0018002373
5.55,1.3039107E-5,2.1765278E-4,0.0013809357
5.65,2.0060165E-6,2.0461368E-4,0.0010478726
5.75,1.2036098E-5,2.0260765E-4,7.833111E-4
5.85,6.018049E-6,1.9057156E-4,5.7316246E-4
5.95,7.0210576E-6,1.8455352E-4,4.0174866E-4
6.05,6.018049E-6,1.7753245E-4,2.787129E-4
6.15,5.015041E-6,1.715144E-4,1.8829586E-4
6.25,1.5045123E-5,1.6649936E-4,1.2391234E-4
6.35,1.2036098E-5,1.5145424E-4,8.716912E-5
6.45,6.018049E-6,1.3941815E-4,5.8803045E-5
6.55,1.103309E-5,1.334001E-4,4.0503848E-5
6.65,4.012033E-6,1.22367E-4,2.8825129E-5
6.75,1.2036098E-5,1.1835497E-4,1.9548392E-5
6.85,1.8054148E-5,1.0631887E-4,1.0151988E-5
6.95,2.6078214E-5,8.826472E-5,4.230097E-6
7.05,4.012033E-6,6.218651E-5,1.7117807E-6
7.15,1.0030082E-5,5.8174475E-5,5.3407484E-7
7.25,1.5045123E-5,4.8144393E-5,3.0752128E-7
7.35,1.3039107E-5,3.309927E-5,2.605955E-7
7.45,2.0060165E-6,2.0060164E-5,1.3421231E-7
7.55,1.0030082E-5,1.8054148E-5,9.595073E-8
7.65,4.012033E-6,8.024066E-6,9.183043E-9
7.75,4.012033E-6,4.012033E-6,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
