Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,1.9859563E-4,5.0451315E-4,0.00917771
5.15,1.2036098E-5,3.059175E-4,0.0072267354
5.25,3.7111306E-5,2.938814E-4,0.0056770206
5.35,3.2096264E-5,2.5677012E-4,0.004446039
5.45,3.410228E-5,2.2467384E-4,0.0034682353
5.55,3.410228E-5,1.9057156E-4,0.0026915383
5.65,1.6048132E-5,1.5646928E-4,0.002074586
5.75,2.0060164E-5,1.4042115E-4,0.0015845232
5.85,1.0030082E-5,1.20360986E-4,0.0011952525
5.95,1.0030082E-5,1.10330904E-4,8.860439E-4
6.05,5.015041E-6,1.0030082E-4,6.435681E-4
6.15,4.012033E-6,9.528578E-5,4.6175517E-4
6.25,4.012033E-6,9.1273745E-5,3.174764E-4
6.35,0.0,8.726172E-5,2.2199732E-4
6.45,0.0,8.726172E-5,1.46229E-4
6.55,0.0,8.726172E-5,9.3875264E-5
6.65,1.0030083E-6,8.726172E-5,7.6794175E-5
6.75,0.0,8.6258704E-5,6.381877E-5
6.85,0.0,8.6258704E-5,4.096131E-5
6.95,0.0,8.6258704E-5,3.6556685E-5
7.05,0.0,8.6258704E-5,3.602327E-5
7.15,7.0210576E-6,8.6258704E-5,3.0165504E-5
7.25,2.4072197E-5,7.923765E-5,2.1951173E-5
7.35,5.015041E-6,5.5165452E-5,1.5058739E-5
7.45,7.0210576E-6,5.015041E-5,1.0884074E-5
7.55,2.808423E-5,4.3129352E-5,5.5802598E-6
7.65,1.4042115E-5,1.5045123E-5,5.583857E-7
7.75,0.0,1.0030083E-6,0.0
7.85,1.0030083E-6,1.0030083E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
